,date_ordinal,open,close,volume,low,high
468,735914,119.5054,118.0327,4701365,118.0061,119.5054
469,735915,117.9528,116.8882,4613817,116.7995,117.9972
470,735918,116.9237,118.6271,4190827,116.9237,118.9643
471,735919,119.0796,118.7247,2815142,118.2722,119.6119
472,735920,119.5853,120.4991,4149181,119.1151,120.579
473,735921,120.8451,121.3153,4753603,120.6677,122.1985
474,735922,121.8743,122.8768,5176375,121.7678,123.245
475,735925,122.9034,122.8413,5137922,121.6525,123.2051
476,735926,122.1227,122.9655,3407653,121.821,123.622
477,735927,122.7615,122.4332,3238166,121.8787,122.8147
478,735929,122.4332,122.8413,1415840,121.7323,123.1518
479,735932,122.9744,123.693,4545587,122.8945,124.1189
480,735933,123.835,125.3432,4195119,123.835,125.4497
481,735934,125.0327,123.9414,3725363,123.764,125.2811
482,735935,124.2963,123.2494,5909588,122.6018,124.8552
483,735936,122.513,124.5891,4571608,122.4243,125.1125
484,735939,124.3495,123.8084,3279376,123.1518,124.5713
485,735940,122.6816,122.4776,3905155,122.0162,123.3736
486,735941,121.8831,121.2,4614993,120.8629,124.0656
487,735942,121.5726,121.3508,4222329,120.4105,122.3001
488,735943,119.9757,119.3901,5333567,118.8046,120.162
489,735946,120.0466,120.5967,5143787,118.9022,120.783
490,735947,121.90090000000001,122.2469,4238546,121.7944,123.2938
491,735948,123.4269,123.5777,4345474,122.2469,123.8971
492,735949,123.6309,121.3242,4089539,120.9316,123.764
493,735950,121.0226,119.6829,10026106,119.1239,121.5105
494,735953,120.508,120.2152,5617475,118.9022,120.508
495,735954,120.5523,122.3711,4263828,120.3483,122.6018
496,735955,122.6994,122.9123,5164916,122.5308,123.591
497,735956,122.8147,122.655,1495226,122.5308,123.2139
498,735960,122.2025,122.0872,3143412,121.1379,122.4731
499,735961,122.655,124.0124,3943691,122.6106,124.2608
500,735962,123.835,123.622,2989367,123.5156,124.598
501,735963,123.3825,122.0961,3462077,122.0517,123.4091
502,735967,120.3039,120.6144,5229381,119.0973,120.6322
503,735968,121.3331,120.5257,3924793,119.6386,121.4484
504,735969,119.2215,119.9224,4310939,118.5473,120.2862
